zone_name,variable,month,mean,min,max
5. Haor or Wetland Humid Zone (Haor Basin),temperature,9,28.815306428754603,28.018604468685712,29.277686502097403
5. Haor or Wetland Humid Zone (Haor Basin),temperature,10,26.928997923084715,25.92505970983896,27.553024177949904
5. Haor or Wetland Humid Zone (Haor Basin),temperature,11,23.597404087286662,22.84053971571752,24.037099905556925
5. Haor or Wetland Humid Zone (Haor Basin),temperature,12,19.65184765617417,19.083343746026895,19.981851154718832
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,1,15.908080550821058,15.32827997466295,16.35175318338975
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,2,17.854109603207963,17.041185513246397,18.4028988004219
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,3,21.512927137613982,20.471265031913234,22.491764913289543
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,4,25.066062998901934,23.77798519035945,26.51379661256759
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,5,25.96744395380248,24.72519712583646,27.126551956483482
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,6,26.621977873618196,25.65820977885866,27.420602249944444
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,7,27.3535389557351,26.446213474898723,28.007092489895754
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,8,27.191516805844635,26.46571838883446,27.635904624371
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,9,27.33444096892741,26.543630181324097,27.76608449209617
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,10,25.462173738840313,24.42463829916491,26.12649434018336
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,11,21.73988793804954,20.76862595720295,22.425369259587537
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,12,18.07659133992065,17.397048786379298,18.431706544478793
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,1,16.815484519895328,16.23180363793645,17.28993798932005
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,2,18.899057961872884,18.089908994919746,19.409597053767378
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,3,22.659513094703854,21.60531949617924,23.64524733139057
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,4,26.194212496061837,24.868779403501115,27.720742799324086
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,5,26.974869487142946,25.6770976747684,28.210761096923726
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,6,27.39085713379846,26.364813226501028,28.2539268933797
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,7,28.12878633764868,27.148539354090275,28.853214449257933
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,8,27.955992695173208,27.199277294706803,28.382119486620425
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,9,28.174535979403473,27.34172054799752,28.63224328799061
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,10,26.318251445380046,25.274548900009904,26.956127433633586
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,11,22.624277859630922,21.648729517559435,23.30068251517184
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,12,18.89248241244814,18.21464869730457,19.252838185054003
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,1,15.243970712340747,14.65991978838676,15.672208096049614
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,2,16.952635703894273,16.21229425530375,17.449567871938324
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,3,20.4813250733704,19.52568330792664,21.386617594962097
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,4,24.125196829525464,22.905334067130724,25.43632526617929
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,5,25.215749359304265,23.98388074799645,26.345408688555064
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,6,26.08930425370449,25.209680020794053,26.820447604966894
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,7,26.774361500247053,25.93495826167316,27.383501969926684
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,8,26.620754781454394,25.95875928995722,27.022190699684167
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,9,26.69978434328719,25.911498343883412,27.13248829828138
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,10,24.83353480273557,23.781600551733177,25.515124409711987
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,11,20.943809588376492,19.880662917839565,21.73462755417209
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,12,17.401481490097716,16.67435094653033,17.767358854375917
6. Hill Tract Zone (Elevated Terrain),cdd,1,1.9936692604873734,1.8777811148607366,2.10715141689251
6. Hill Tract Zone (Elevated Terrain),cdd,2,4.313138943210762,4.2924674854399765,4.3523523734509055
6. Hill Tract Zone (Elevated Terrain),cdd,3,8.160380876837314,8.10955555027844,8.216785602427853
6. Hill Tract Zone (Elevated Terrain),cdd,4,11.57337988310582,11.41529055066201,11.704911468471591
6. Hill Tract Zone (Elevated Terrain),cdd,5,11.465410661913559,11.2736390607472,11.621605284520001
6. Hill Tract Zone (Elevated Terrain),cdd,6,11.092812859658041,10.96197049265863,11.293017895209617
6. Hill Tract Zone (Elevated Terrain),cdd,7,11.086134496847654,10.754341776069825,11.266284004658102
6. Hill Tract Zone (Elevated Terrain),cdd,8,10.530366519884145,10.222381279182137,10.750123847299479
