district,variable,kind,n_months,val_R2,val_RMSE,val_MAE,val_acc_0.5,val_acc_1.0,val_acc_2.0,val_acc_3.0,val_acc_5.0,val_acc_10.0,val_acc_20.0,val_acc_30.0,val_acc_50.0,val_acc_1.5,zone
Gopalganj,wbgt_sun,index,11,0.9601188912564665,0.705884643995651,0.5808820620161105,0.45454545454545453,0.8181818181818182,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Gopalganj,cdd,index,11,0.9388564868639907,0.8057319563656224,0.6479648310155749,0.45454545454545453,0.8181818181818182,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Habiganj,heat_index,index,11,0.9385569511764073,1.4489004986810463,1.3343863436127388,0.18181818181818182,0.2727272727272727,0.9090909090909091,1.0,,,,,,,5. Haor or Wetland Humid Zone (Haor Basin)
Habiganj,wet_bulb,index,11,0.9601836572569921,0.692819235536132,0.5841397246062912,0.36363636363636365,0.8181818181818182,1.0,1.0,,,,,,,5. Haor or Wetland Humid Zone (Haor Basin)
Habiganj,wbgt_shade,index,11,0.9545021664675563,0.7257073395613698,0.6280953097283153,0.2727272727272727,0.8181818181818182,1.0,1.0,,,,,,,5. Haor or Wetland Humid Zone (Haor Basin)
Habiganj,wbgt_sun,index,11,0.9487622196003042,0.7625099920354007,0.6667213498625073,0.2727272727272727,0.8181818181818182,1.0,1.0,,,,,,,5. Haor or Wetland Humid Zone (Haor Basin)
Habiganj,cdd,index,11,0.9507141751544388,0.7336349136117327,0.6321468049858736,0.45454545454545453,0.7272727272727273,1.0,1.0,,,,,,,5. Haor or Wetland Humid Zone (Haor Basin)
Jamalpur,heat_index,index,11,0.9647087030351158,1.1913420069407243,1.0376899782059033,0.18181818181818182,0.45454545454545453,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Jamalpur,wet_bulb,index,11,0.9805720055781223,0.5323655358218268,0.43658259683028855,0.6363636363636364,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Jamalpur,wbgt_shade,index,11,0.9777440614473281,0.5564650545282779,0.45763920508742023,0.5454545454545454,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Jamalpur,wbgt_sun,index,11,0.9767555031885911,0.5624751220285991,0.4782411443338187,0.45454545454545453,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Jamalpur,cdd,index,11,0.9690561799343413,0.6022142109463383,0.52540287637922,0.45454545454545453,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Jessore,heat_index,index,11,0.9252911397427274,1.7865610999049026,1.453968925332061,0.2727272727272727,0.36363636363636365,0.7272727272727273,0.9090909090909091,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Jessore,wet_bulb,index,11,0.9712037310589191,0.6421739625782652,0.5416808377714908,0.5454545454545454,0.9090909090909091,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Jessore,wbgt_shade,index,11,0.9680219884062606,0.6661223684621613,0.5596924343568337,0.36363636363636365,0.9090909090909091,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Jessore,wbgt_sun,index,11,0.962262269628573,0.7209069707039726,0.6025121179911618,0.36363636363636365,0.8181818181818182,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Jessore,cdd,index,11,0.9577230746282892,0.7262125092326218,0.6344571314522169,0.36363636363636365,0.8181818181818182,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Jhalokati,heat_index,index,11,0.9321723875672314,1.5525623239625477,1.2879329108357829,0.18181818181818182,0.45454545454545453,0.7272727272727273,0.9090909090909091,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Jhalokati,wet_bulb,index,11,0.9665421056741481,0.6272368353960239,0.5144695085249263,0.5454545454545454,0.9090909090909091,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Jhalokati,wbgt_shade,index,11,0.9632918026076586,0.6435274799815287,0.5418128956012112,0.45454545454545453,0.8181818181818182,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Jhalokati,wbgt_sun,index,11,0.9589766841672079,0.6737338809681948,0.5709628969959876,0.45454545454545453,0.8181818181818182,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Jhalokati,cdd,index,11,0.9405707652139267,0.7418635871198078,0.6379035530745308,0.45454545454545453,0.9090909090909091,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Jhenaidah,heat_index,index,11,0.9108544042484542,1.9438674781496372,1.5640470109616944,0.2727272727272727,0.45454545454545453,0.6363636363636364,0.7272727272727273,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Jhenaidah,wet_bulb,index,11,0.9707525882040284,0.6577920455466142,0.5525505305532176,0.36363636363636365,0.9090909090909091,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Jhenaidah,wbgt_shade,index,11,0.966551246134205,0.6913111469624866,0.5735172075576418,0.36363636363636365,0.9090909090909091,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Jhenaidah,wbgt_sun,index,11,0.9604272354242326,0.7489290542263558,0.6184036642077014,0.36363636363636365,0.8181818181818182,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Jhenaidah,cdd,index,11,0.9486653243722777,0.808903054311061,0.6692045737655182,0.36363636363636365,0.7272727272727273,1.0,1.0,,,,,,,3. Southwest Hot-Dry Zone (Drought or Saline)
Joypurhat,heat_index,index,11,0.9743260327710747,1.1275922803296572,0.9430710374424898,0.36363636363636365,0.5454545454545454,1.0,1.0,,,,,,,1. Northwest Extreme Heat Zone (Dry Hot Plains)
Joypurhat,wet_bulb,index,11,0.9841340737390422,0.5279563472351689,0.4286946942495872,0.8181818181818182,0.9090909090909091,1.0,1.0,,,,,,,1. Northwest Extreme Heat Zone (Dry Hot Plains)
